test,URL,Score,Date,Time,Month,Year
0,https://www.stc.com.kw/en/qitaf-page/,0.01,10-22-2022,01,10,2022
0,https://www.stc.com.kw/en/payment-channels/,0.02,10-22-2022,01,10,2022
0,https://www.stc.com.kw/en/,0.23,10-22-2022,02,10,2022
0,https://www.stc.com.kw/en/store/grid#ACCESSORY/,0.51,10-22-2022,02,10,2022
0,https://www.stc.com.kw/en/store/grid#ALLPRODUCT/,0.5,10-22-2022,02,10,2022
0,https://www.stc.com.kw/en/store/grid#SMARTPHONE/,0.51,10-22-2022,02,10,2022
0,https://www.stc.com.kw/en/store/grid#TABLET/,0.51,10-22-2022,02,10,2022
0,https://www.stc.com.kw/en/store/grid#ROUTER/,0.51,10-22-2022,02,10,2022
0,https://www.stc.com.kw/en/store/grid#GAMINGCONSOLE/,0.52,10-22-2022,02,10,2022
0,https://www.stc.com.kw/en/qitaf-page/,0.38,10-22-2022,02,10,2022
0,https://www.stc.com.kw/en/payment-channels/,0.02,10-22-2022,02,10,2022
0,https://www.stc.com.kw/en/,0.23,10-22-2022,02,10,2022
0,https://www.stc.com.kw/en/store/grid#ACCESSORY/,0.52,10-22-2022,02,10,2022
0,https://www.stc.com.kw/en/store/grid#ALLPRODUCT/,0.26,10-22-2022,02,10,2022
0,https://www.stc.com.kw/en/store/grid#SMARTPHONE/,0.51,10-22-2022,02,10,2022
0,https://www.stc.com.kw/en/store/grid#TABLET/,0.51,10-22-2022,02,10,2022
0,https://www.stc.com.kw/en/store/grid#ROUTER/,0.51,10-22-2022,02,10,2022
0,https://www.stc.com.kw/en/store/grid#GAMINGCONSOLE/,0.51,10-22-2022,02,10,2022
0,https://www.stc.com.kw/en/qitaf-page/,0.02,10-22-2022,02,10,2022
0,https://www.stc.com.kw/en/payment-channels/,0.03,10-22-2022,02,10,2022
0,https://www.stc.com.kw/en/,0.23,10-22-2022,02,10,2022
0,https://www.stc.com.kw/en/store/grid#ACCESSORY/,0.5,10-22-2022,02,10,2022
0,https://www.stc.com.kw/en/store/grid#ALLPRODUCT/,0.27,10-22-2022,02,10,2022
0,https://www.stc.com.kw/en/store/grid#SMARTPHONE/,0.5,10-22-2022,02,10,2022
0,https://www.stc.com.kw/en/store/grid#TABLET/,0.51,10-22-2022,02,10,2022
0,https://www.stc.com.kw/en/store/grid#ROUTER/,0.51,10-22-2022,02,10,2022
0,https://www.stc.com.kw/en/store/grid#GAMINGCONSOLE/,0.5,10-22-2022,02,10,2022
0,https://www.stc.com.kw/en/qitaf-page/,0.03,10-22-2022,02,10,2022
0,https://www.stc.com.kw/en/payment-channels/,0.02,10-22-2022,02,10,2022
0,https://www.stc.com.kw/en/,0.22,10-22-2022,02,10,2022
0,https://www.stc.com.kw/en/store/grid#ACCESSORY/,0.51,10-22-2022,02,10,2022
0,https://www.stc.com.kw/en/store/grid#ALLPRODUCT/,0.51,10-22-2022,02,10,2022
0,https://www.stc.com.kw/en/store/grid#SMARTPHONE/,0.51,10-22-2022,02,10,2022
0,https://www.stc.com.kw/en/store/grid#TABLET/,0.51,10-22-2022,02,10,2022
0,https://www.stc.com.kw/en/store/grid#ROUTER/,0.51,10-22-2022,02,10,2022
0,https://www.stc.com.kw/en/store/grid#GAMINGCONSOLE/,0.52,10-22-2022,02,10,2022
0,https://www.stc.com.kw/en/qitaf-page/,0.02,10-22-2022,02,10,2022
0,https://www.stc.com.kw/en/payment-channels/,0.02,10-22-2022,02,10,2022
0,https://www.stc.com.kw/en/,0.23,10-22-2022,02,10,2022
0,https://www.stc.com.kw/en/store/grid#ACCESSORY/,0.51,10-22-2022,02,10,2022
0,https://www.stc.com.kw/en/store/grid#ALLPRODUCT/,0.51,10-22-2022,02,10,2022
0,https://www.stc.com.kw/en/store/grid#SMARTPHONE/,0.51,10-22-2022,02,10,2022
0,https://www.stc.com.kw/en/store/grid#TABLET/,0.51,10-22-2022,02,10,2022
0,https://www.stc.com.kw/en/store/grid#ROUTER/,0.52,10-22-2022,02,10,2022
0,https://www.stc.com.kw/en/store/grid#GAMINGCONSOLE/,0.51,10-22-2022,02,10,2022
0,https://www.stc.com.kw/en/qitaf-page/,0.02,10-22-2022,02,10,2022
0,https://www.stc.com.kw/en/payment-channels/,0.02,10-22-2022,02,10,2022
0,https://www.stc.com.kw/en/,0.23,10-22-2022,02,10,2022
0,https://www.stc.com.kw/en/store/grid#ACCESSORY/,0.51,10-22-2022,02,10,2022
0,https://www.stc.com.kw/en/store/grid#ALLPRODUCT/,0.25,10-22-2022,02,10,2022
0,https://www.stc.com.kw/en/store/grid#SMARTPHONE/,0.51,10-22-2022,02,10,2022
0,https://www.stc.com.kw/en/store/grid#TABLET/,0.26,10-22-2022,02,10,2022
0,https://www.stc.com.kw/en/store/grid#ROUTER/,0.51,10-22-2022,02,10,2022
0,https://www.stc.com.kw/en/store/grid#GAMINGCONSOLE/,0.51,10-22-2022,02,10,2022
0,https://www.stc.com.kw/en/qitaf-page/,0.02,10-22-2022,02,10,2022
0,https://www.stc.com.kw/en/payment-channels/,0.03,10-22-2022,02,10,2022
0,https://www.stc.com.kw/en/,0.23,10-22-2022,03,10,2022
0,https://www.stc.com.kw/en/store/grid#ACCESSORY/,0.52,10-22-2022,03,10,2022
0,https://www.stc.com.kw/en/store/grid#ALLPRODUCT/,0.52,10-22-2022,03,10,2022
0,https://www.stc.com.kw/en/store/grid#SMARTPHONE/,0.51,10-22-2022,03,10,2022
0,https://www.stc.com.kw/en/store/grid#TABLET/,0.51,10-22-2022,03,10,2022
0,https://www.stc.com.kw/en/store/grid#ROUTER/,0.51,10-22-2022,03,10,2022
0,https://www.stc.com.kw/en/store/grid#GAMINGCONSOLE/,0.51,10-22-2022,03,10,2022
0,https://www.stc.com.kw/en/qitaf-page/,0.02,10-22-2022,03,10,2022
0,https://www.stc.com.kw/en/payment-channels/,0.02,10-22-2022,03,10,2022
0,https://www.stc.com.kw/en/,0.24,10-22-2022,03,10,2022
0,https://www.stc.com.kw/en/store/grid#ACCESSORY/,0.51,10-22-2022,03,10,2022
0,https://www.stc.com.kw/en/store/grid#ALLPRODUCT/,0.5,10-22-2022,03,10,2022
0,https://www.stc.com.kw/en/store/grid#SMARTPHONE/,0.51,10-22-2022,03,10,2022
0,https://www.stc.com.kw/en/store/grid#TABLET/,0.25,10-22-2022,03,10,2022
0,https://www.stc.com.kw/en/store/grid#ROUTER/,0.51,10-22-2022,03,10,2022
0,https://www.stc.com.kw/en/store/grid#GAMINGCONSOLE/,0.5,10-22-2022,03,10,2022
0,https://www.stc.com.kw/en/qitaf-page/,0.03,10-22-2022,03,10,2022
0,https://www.stc.com.kw/en/payment-channels/,0.01,10-22-2022,03,10,2022
0,https://www.stc.com.kw/en/,0.24,10-22-2022,03,10,2022
0,https://www.stc.com.kw/en/store/grid#ACCESSORY/,0.26,10-22-2022,03,10,2022
0,https://www.stc.com.kw/en/store/grid#ALLPRODUCT/,0.51,10-22-2022,03,10,2022
0,https://www.stc.com.kw/en/store/grid#SMARTPHONE/,0.26,10-22-2022,03,10,2022
0,https://www.stc.com.kw/en/store/grid#TABLET/,0.51,10-22-2022,03,10,2022
0,https://www.stc.com.kw/en/store/grid#ROUTER/,0.51,10-22-2022,03,10,2022
0,https://www.stc.com.kw/en/store/grid#GAMINGCONSOLE/,0.26,10-22-2022,03,10,2022
0,https://www.stc.com.kw/en/qitaf-page/,0.02,10-22-2022,03,10,2022
0,https://www.stc.com.kw/en/payment-channels/,0.37,10-22-2022,03,10,2022
0,https://www.stc.com.kw/en/,0.24,10-22-2022,03,10,2022
0,https://www.stc.com.kw/en/store/grid#ACCESSORY/,0.51,10-22-2022,03,10,2022
0,https://www.stc.com.kw/en/store/grid#ALLPRODUCT/,0.25,10-22-2022,03,10,2022
0,https://www.stc.com.kw/en/store/grid#SMARTPHONE/,0.52,10-22-2022,03,10,2022
0,https://www.stc.com.kw/en/store/grid#TABLET/,0.26,10-22-2022,03,10,2022
0,https://www.stc.com.kw/en/store/grid#ROUTER/,0.51,10-22-2022,03,10,2022
0,https://www.stc.com.kw/en/store/grid#GAMINGCONSOLE/,0.51,10-22-2022,03,10,2022
0,https://www.stc.com.kw/en/qitaf-page/,0.02,10-22-2022,03,10,2022
0,https://www.stc.com.kw/en/payment-channels/,0.03,10-22-2022,03,10,2022
0,https://www.stc.com.kw/en/,0.22,10-22-2022,03,10,2022
0,https://www.stc.com.kw/en/store/grid#ACCESSORY/,0.51,10-22-2022,03,10,2022
0,https://www.stc.com.kw/en/store/grid#ALLPRODUCT/,0.52,10-22-2022,03,10,2022
0,https://www.stc.com.kw/en/store/grid#SMARTPHONE/,0.26,10-22-2022,03,10,2022
0,https://www.stc.com.kw/en/store/grid#TABLET/,0.5,10-22-2022,03,10,2022
0,https://www.stc.com.kw/en/store/grid#ROUTER/,0.51,10-22-2022,03,10,2022
0,https://www.stc.com.kw/en/store/grid#GAMINGCONSOLE/,0.52,10-22-2022,03,10,2022
0,https://www.stc.com.kw/en/qitaf-page/,0.03,10-22-2022,03,10,2022
0,https://www.stc.com.kw/en/payment-channels/,0.02,10-22-2022,03,10,2022
0,https://www.stc.com.kw/en/,0.23,10-22-2022,03,10,2022
0,https://www.stc.com.kw/en/store/grid#ACCESSORY/,0.51,10-22-2022,03,10,2022
0,https://www.stc.com.kw/en/store/grid#ALLPRODUCT/,0.26,10-22-2022,03,10,2022
0,https://www.stc.com.kw/en/store/grid#SMARTPHONE/,0.51,10-22-2022,03,10,2022
0,https://www.stc.com.kw/en/store/grid#TABLET/,0.51,10-22-2022,03,10,2022
0,https://www.stc.com.kw/en/store/grid#ROUTER/,0.51,10-22-2022,03,10,2022
0,https://www.stc.com.kw/en/store/grid#GAMINGCONSOLE/,0.51,10-22-2022,03,10,2022
0,https://www.stc.com.kw/en/qitaf-page/,0.02,10-22-2022,03,10,2022
0,https://www.stc.com.kw/en/payment-channels/,0.02,10-22-2022,03,10,2022
0,https://www.stc.com.kw/en/,0.23,10-22-2022,04,10,2022
0,https://www.stc.com.kw/en/store/grid#ACCESSORY/,0.51,10-22-2022,04,10,2022
0,https://www.stc.com.kw/en/store/grid#ALLPRODUCT/,0.52,10-22-2022,04,10,2022
0,https://www.stc.com.kw/en/store/grid#SMARTPHONE/,0.5,10-22-2022,04,10,2022
0,https://www.stc.com.kw/en/store/grid#TABLET/,0.51,10-22-2022,04,10,2022
0,https://www.stc.com.kw/en/store/grid#ROUTER/,0.51,10-22-2022,04,10,2022
0,https://www.stc.com.kw/en/store/grid#GAMINGCONSOLE/,0.25,10-22-2022,04,10,2022
0,https://www.stc.com.kw/en/qitaf-page/,0.01,10-22-2022,04,10,2022
0,https://www.stc.com.kw/en/payment-channels/,0.01,10-22-2022,04,10,2022
0,https://www.stc.com.kw/en/,0.22,10-22-2022,04,10,2022
0,https://www.stc.com.kw/en/store/grid#ACCESSORY/,0.51,10-22-2022,04,10,2022
0,https://www.stc.com.kw/en/store/grid#ALLPRODUCT/,0.51,10-22-2022,04,10,2022
0,https://www.stc.com.kw/en/store/grid#SMARTPHONE/,0.5,10-22-2022,04,10,2022
0,https://www.stc.com.kw/en/store/grid#TABLET/,0.52,10-22-2022,04,10,2022
0,https://www.stc.com.kw/en/store/grid#ROUTER/,0.52,10-22-2022,04,10,2022
0,https://www.stc.com.kw/en/store/grid#GAMINGCONSOLE/,0.51,10-22-2022,04,10,2022
0,https://www.stc.com.kw/en/qitaf-page/,0.02,10-22-2022,04,10,2022
0,https://www.stc.com.kw/en/payment-channels/,0.02,10-22-2022,04,10,2022
0,https://www.stc.com.kw/en/,0.24,10-22-2022,04,10,2022
0,https://www.stc.com.kw/en/store/grid#ACCESSORY/,0.52,10-22-2022,04,10,2022
0,https://www.stc.com.kw/en/store/grid#ALLPRODUCT/,0.5,10-22-2022,04,10,2022
0,https://www.stc.com.kw/en/store/grid#SMARTPHONE/,0.53,10-22-2022,04,10,2022
0,https://www.stc.com.kw/en/store/grid#TABLET/,0.51,10-22-2022,04,10,2022
0,https://www.stc.com.kw/en/store/grid#ROUTER/,0.5,10-22-2022,04,10,2022
0,https://www.stc.com.kw/en/store/grid#GAMINGCONSOLE/,0.51,10-22-2022,04,10,2022
0,https://www.stc.com.kw/en/qitaf-page/,0.01,10-22-2022,04,10,2022
0,https://www.stc.com.kw/en/payment-channels/,0.02,10-22-2022,04,10,2022
0,https://www.stc.com.kw/en/,0.23,10-22-2022,04,10,2022
0,https://www.stc.com.kw/en/store/grid#ACCESSORY/,0.26,10-22-2022,04,10,2022
0,https://www.stc.com.kw/en/store/grid#ALLPRODUCT/,0.5,10-22-2022,04,10,2022
0,https://www.stc.com.kw/en/store/grid#SMARTPHONE/,0.52,10-22-2022,04,10,2022
0,https://www.stc.com.kw/en/store/grid#TABLET/,0.52,10-22-2022,04,10,2022
0,https://www.stc.com.kw/en/store/grid#ROUTER/,0.52,10-22-2022,04,10,2022
0,https://www.stc.com.kw/en/store/grid#GAMINGCONSOLE/,0.51,10-22-2022,04,10,2022
0,https://www.stc.com.kw/en/qitaf-page/,0.02,10-22-2022,04,10,2022
0,https://www.stc.com.kw/en/payment-channels/,0.02,10-22-2022,04,10,2022
0,https://www.stc.com.kw/en/,0.23,10-22-2022,04,10,2022
0,https://www.stc.com.kw/en/store/grid#ACCESSORY/,0.51,10-22-2022,04,10,2022
0,https://www.stc.com.kw/en/store/grid#ALLPRODUCT/,0.52,10-22-2022,04,10,2022
0,https://www.stc.com.kw/en/store/grid#SMARTPHONE/,0.51,10-22-2022,04,10,2022
0,https://www.stc.com.kw/en/store/grid#TABLET/,0.52,10-22-2022,04,10,2022
0,https://www.stc.com.kw/en/store/grid#ROUTER/,0.51,10-22-2022,04,10,2022
0,https://www.stc.com.kw/en/store/grid#GAMINGCONSOLE/,0.52,10-22-2022,04,10,2022
0,https://www.stc.com.kw/en/qitaf-page/,0.03,10-22-2022,04,10,2022
0,https://www.stc.com.kw/en/payment-channels/,0.01,10-22-2022,04,10,2022
0,https://www.stc.com.kw/en/,0.23,10-22-2022,04,10,2022
0,https://www.stc.com.kw/en/store/grid#ACCESSORY/,0.27,10-22-2022,04,10,2022
0,https://www.stc.com.kw/en/store/grid#ALLPRODUCT/,0.51,10-22-2022,04,10,2022
0,https://www.stc.com.kw/en/store/grid#SMARTPHONE/,0.51,10-22-2022,04,10,2022
0,https://www.stc.com.kw/en/store/grid#TABLET/,0.52,10-22-2022,04,10,2022
0,https://www.stc.com.kw/en/store/grid#ROUTER/,0.27,10-22-2022,04,10,2022
0,https://www.stc.com.kw/en/store/grid#GAMINGCONSOLE/,0.27,10-22-2022,04,10,2022
0,https://www.stc.com.kw/en/qitaf-page/,0.02,10-22-2022,04,10,2022
0,https://www.stc.com.kw/en/payment-channels/,0.02,10-22-2022,04,10,2022
0,https://www.stc.com.kw/en/,0.22,10-22-2022,05,10,2022
0,https://www.stc.com.kw/en/store/grid#ACCESSORY/,0.27,10-22-2022,05,10,2022
0,https://www.stc.com.kw/en/store/grid#ALLPRODUCT/,0.52,10-22-2022,05,10,2022
0,https://www.stc.com.kw/en/store/grid#SMARTPHONE/,0.52,10-22-2022,05,10,2022
0,https://www.stc.com.kw/en/store/grid#TABLET/,0.5,10-22-2022,05,10,2022
0,https://www.stc.com.kw/en/store/grid#ROUTER/,0.51,10-22-2022,05,10,2022
0,https://www.stc.com.kw/en/store/grid#GAMINGCONSOLE/,0.26,10-22-2022,05,10,2022
0,https://www.stc.com.kw/en/qitaf-page/,0.02,10-22-2022,05,10,2022
0,https://www.stc.com.kw/en/payment-channels/,0.01,10-22-2022,05,10,2022
0,https://www.stc.com.kw/en/,0.23,10-22-2022,05,10,2022
0,https://www.stc.com.kw/en/store/grid#ACCESSORY/,0.51,10-22-2022,05,10,2022
0,https://www.stc.com.kw/en/store/grid#ALLPRODUCT/,0.51,10-22-2022,05,10,2022
0,https://www.stc.com.kw/en/store/grid#SMARTPHONE/,0.51,10-22-2022,05,10,2022
0,https://www.stc.com.kw/en/store/grid#TABLET/,0.51,10-22-2022,05,10,2022
0,https://www.stc.com.kw/en/store/grid#ROUTER/,0.51,10-22-2022,05,10,2022
0,https://www.stc.com.kw/en/store/grid#GAMINGCONSOLE/,0.5,10-22-2022,05,10,2022
0,https://www.stc.com.kw/en/qitaf-page/,0.02,10-22-2022,05,10,2022
0,https://www.stc.com.kw/en/payment-channels/,0.01,10-22-2022,05,10,2022
0,https://www.stc.com.kw/en/,0.23,10-22-2022,05,10,2022
0,https://www.stc.com.kw/en/store/grid#ACCESSORY/,0.51,10-22-2022,05,10,2022
0,https://www.stc.com.kw/en/store/grid#ALLPRODUCT/,0.51,10-22-2022,05,10,2022
0,https://www.stc.com.kw/en/store/grid#SMARTPHONE/,0.26,10-22-2022,05,10,2022
0,https://www.stc.com.kw/en/store/grid#TABLET/,0.52,10-22-2022,05,10,2022
0,https://www.stc.com.kw/en/store/grid#ROUTER/,0.52,10-22-2022,05,10,2022
0,https://www.stc.com.kw/en/store/grid#GAMINGCONSOLE/,0.52,10-22-2022,05,10,2022
0,https://www.stc.com.kw/en/qitaf-page/,0.02,10-22-2022,05,10,2022
0,https://www.stc.com.kw/en/payment-channels/,0.02,10-22-2022,05,10,2022
0,https://www.stc.com.kw/en/,0.22,10-22-2022,05,10,2022
0,https://www.stc.com.kw/en/store/grid#ACCESSORY/,0.5,10-22-2022,05,10,2022
0,https://www.stc.com.kw/en/store/grid#ALLPRODUCT/,0.52,10-22-2022,05,10,2022
0,https://www.stc.com.kw/en/store/grid#SMARTPHONE/,0.26,10-22-2022,05,10,2022
0,https://www.stc.com.kw/en/store/grid#TABLET/,0.51,10-22-2022,05,10,2022
0,https://www.stc.com.kw/en/store/grid#ROUTER/,0.52,10-22-2022,05,10,2022
0,https://www.stc.com.kw/en/store/grid#GAMINGCONSOLE/,0.5,10-22-2022,05,10,2022
0,https://www.stc.com.kw/en/qitaf-page/,0.02,10-22-2022,05,10,2022
0,https://www.stc.com.kw/en/payment-channels/,0.02,10-22-2022,05,10,2022
0,https://www.stc.com.kw/en/,0.24,10-22-2022,05,10,2022
0,https://www.stc.com.kw/en/store/grid#ACCESSORY/,0.27,10-22-2022,05,10,2022
0,https://www.stc.com.kw/en/store/grid#ALLPRODUCT/,0.25,10-22-2022,05,10,2022
0,https://www.stc.com.kw/en/store/grid#SMARTPHONE/,0.26,10-22-2022,05,10,2022
0,https://www.stc.com.kw/en/store/grid#TABLET/,0.51,10-22-2022,05,10,2022
0,https://www.stc.com.kw/en/store/grid#ROUTER/,0.51,10-22-2022,05,10,2022
0,https://www.stc.com.kw/en/store/grid#GAMINGCONSOLE/,0.51,10-22-2022,05,10,2022
0,https://www.stc.com.kw/en/qitaf-page/,0.02,10-22-2022,05,10,2022
0,https://www.stc.com.kw/en/payment-channels/,0.02,10-22-2022,05,10,2022
0,https://www.stc.com.kw/en/,0.23,10-22-2022,05,10,2022
0,https://www.stc.com.kw/en/store/grid#ACCESSORY/,0.26,10-22-2022,05,10,2022
0,https://www.stc.com.kw/en/store/grid#ALLPRODUCT/,0.52,10-22-2022,05,10,2022
0,https://www.stc.com.kw/en/store/grid#SMARTPHONE/,0.26,10-22-2022,05,10,2022
0,https://www.stc.com.kw/en/store/grid#TABLET/,0.51,10-22-2022,05,10,2022
0,https://www.stc.com.kw/en/store/grid#ROUTER/,0.52,10-22-2022,05,10,2022
0,https://www.stc.com.kw/en/store/grid#GAMINGCONSOLE/,0.51,10-22-2022,05,10,2022
0,https://www.stc.com.kw/en/qitaf-page/,0.02,10-22-2022,05,10,2022
0,https://www.stc.com.kw/en/payment-channels/,0.02,10-22-2022,05,10,2022
0,https://www.stc.com.kw/en/,0.22,10-22-2022,06,10,2022
0,https://www.stc.com.kw/en/store/grid#ACCESSORY/,0.51,10-22-2022,06,10,2022
0,https://www.stc.com.kw/en/store/grid#ALLPRODUCT/,0.51,10-22-2022,06,10,2022
0,https://www.stc.com.kw/en/store/grid#SMARTPHONE/,0.51,10-22-2022,06,10,2022
0,https://www.stc.com.kw/en/store/grid#TABLET/,0.52,10-22-2022,06,10,2022
0,https://www.stc.com.kw/en/store/grid#ROUTER/,0.96,10-22-2022,06,10,2022
0,https://www.stc.com.kw/en/store/grid#GAMINGCONSOLE/,0.26,10-22-2022,06,10,2022
0,https://www.stc.com.kw/en/qitaf-page/,0.02,10-22-2022,06,10,2022
0,https://www.stc.com.kw/en/payment-channels/,0.02,10-22-2022,06,10,2022
0,https://www.stc.com.kw/en/,0.23,10-22-2022,06,10,2022
0,https://www.stc.com.kw/en/store/grid#ACCESSORY/,0.27,10-22-2022,06,10,2022
0,https://www.stc.com.kw/en/store/grid#ALLPRODUCT/,0.5,10-22-2022,06,10,2022
0,https://www.stc.com.kw/en/store/grid#SMARTPHONE/,0.52,10-22-2022,06,10,2022
0,https://www.stc.com.kw/en/store/grid#TABLET/,0.26,10-22-2022,06,10,2022
0,https://www.stc.com.kw/en/store/grid#ROUTER/,0.51,10-22-2022,06,10,2022
0,https://www.stc.com.kw/en/store/grid#GAMINGCONSOLE/,Test Failed,10-22-2022,06,10,2022
0,https://www.stc.com.kw/en/qitaf-page/,Test Failed,10-22-2022,06,10,2022
0,https://www.stc.com.kw/en/payment-channels/,0.5,10-22-2022,06,10,2022
0,https://www.stc.com.kw/en/,0.23,10-22-2022,06,10,2022
0,https://www.stc.com.kw/en/store/grid#ACCESSORY/,0.26,10-22-2022,06,10,2022
0,https://www.stc.com.kw/en/store/grid#ALLPRODUCT/,0.51,10-22-2022,06,10,2022
0,https://www.stc.com.kw/en/store/grid#SMARTPHONE/,0.51,10-22-2022,06,10,2022
0,https://www.stc.com.kw/en/store/grid#TABLET/,0.26,10-22-2022,06,10,2022
0,https://www.stc.com.kw/en/store/grid#ROUTER/,0.52,10-22-2022,06,10,2022
0,https://www.stc.com.kw/en/store/grid#GAMINGCONSOLE/,0.51,10-22-2022,06,10,2022
0,https://www.stc.com.kw/en/qitaf-page/,0.01,10-22-2022,06,10,2022
0,https://www.stc.com.kw/en/payment-channels/,0.01,10-22-2022,06,10,2022
0,https://www.stc.com.kw/en/,0.23,10-22-2022,06,10,2022
0,https://www.stc.com.kw/en/store/grid#ACCESSORY/,0.51,10-22-2022,06,10,2022
0,https://www.stc.com.kw/en/store/grid#ALLPRODUCT/,0.5,10-22-2022,06,10,2022
0,https://www.stc.com.kw/en/store/grid#SMARTPHONE/,0.51,10-22-2022,06,10,2022
0,https://www.stc.com.kw/en/store/grid#TABLET/,0.26,10-22-2022,06,10,2022
0,https://www.stc.com.kw/en/store/grid#ROUTER/,0.52,10-22-2022,06,10,2022
0,https://www.stc.com.kw/en/store/grid#GAMINGCONSOLE/,0.51,10-22-2022,06,10,2022
0,https://www.stc.com.kw/en/qitaf-page/,0.02,10-22-2022,06,10,2022
0,https://www.stc.com.kw/en/payment-channels/,0.02,10-22-2022,06,10,2022
0,https://www.stc.com.kw/en/,0.23,10-22-2022,06,10,2022
0,https://www.stc.com.kw/en/store/grid#ACCESSORY/,0.51,10-22-2022,06,10,2022
0,https://www.stc.com.kw/en/store/grid#ALLPRODUCT/,0.5,10-22-2022,06,10,2022
0,https://www.stc.com.kw/en/store/grid#SMARTPHONE/,0.5,10-22-2022,06,10,2022
0,https://www.stc.com.kw/en/store/grid#TABLET/,0.51,10-22-2022,06,10,2022
0,https://www.stc.com.kw/en/store/grid#ROUTER/,0.51,10-22-2022,06,10,2022
0,https://www.stc.com.kw/en/store/grid#GAMINGCONSOLE/,0.25,10-22-2022,06,10,2022
0,https://www.stc.com.kw/en/qitaf-page/,0.02,10-22-2022,06,10,2022
0,https://www.stc.com.kw/en/payment-channels/,0.03,10-22-2022,06,10,2022
0,https://www.stc.com.kw/en/,0.23,10-22-2022,06,10,2022
0,https://www.stc.com.kw/en/store/grid#ACCESSORY/,0.51,10-22-2022,06,10,2022
0,https://www.stc.com.kw/en/store/grid#ALLPRODUCT/,0.51,10-22-2022,06,10,2022
0,https://www.stc.com.kw/en/store/grid#SMARTPHONE/,0.52,10-22-2022,06,10,2022
0,https://www.stc.com.kw/en/store/grid#TABLET/,0.51,10-22-2022,06,10,2022
0,https://www.stc.com.kw/en/store/grid#ROUTER/,0.51,10-22-2022,06,10,2022
0,https://www.stc.com.kw/en/store/grid#GAMINGCONSOLE/,0.26,10-22-2022,06,10,2022
0,https://www.stc.com.kw/en/qitaf-page/,0.02,10-22-2022,06,10,2022
0,https://www.stc.com.kw/en/payment-channels/,0.02,10-22-2022,06,10,2022
0,https://www.stc.com.kw/en/,0.22,10-22-2022,07,10,2022
0,https://www.stc.com.kw/en/store/grid#ACCESSORY/,0.5,10-22-2022,07,10,2022
0,https://www.stc.com.kw/en/store/grid#ALLPRODUCT/,0.26,10-22-2022,07,10,2022
0,https://www.stc.com.kw/en/store/grid#SMARTPHONE/,0.52,10-22-2022,07,10,2022
0,https://www.stc.com.kw/en/store/grid#TABLET/,0.51,10-22-2022,07,10,2022
0,https://www.stc.com.kw/en/store/grid#ROUTER/,0.5,10-22-2022,07,10,2022
0,https://www.stc.com.kw/en/store/grid#GAMINGCONSOLE/,0.52,10-22-2022,07,10,2022
0,https://www.stc.com.kw/en/qitaf-page/,0.01,10-22-2022,07,10,2022
0,https://www.stc.com.kw/en/payment-channels/,0.02,10-22-2022,07,10,2022
0,https://www.stc.com.kw/en/,0.23,10-22-2022,07,10,2022
0,https://www.stc.com.kw/en/store/grid#ACCESSORY/,0.51,10-22-2022,07,10,2022
0,https://www.stc.com.kw/en/store/grid#ALLPRODUCT/,0.52,10-22-2022,07,10,2022
0,https://www.stc.com.kw/en/store/grid#SMARTPHONE/,0.52,10-22-2022,07,10,2022
0,https://www.stc.com.kw/en/store/grid#TABLET/,0.52,10-22-2022,07,10,2022
0,https://www.stc.com.kw/en/store/grid#ROUTER/,0.27,10-22-2022,07,10,2022
0,https://www.stc.com.kw/en/store/grid#GAMINGCONSOLE/,0.51,10-22-2022,07,10,2022
0,https://www.stc.com.kw/en/qitaf-page/,0.01,10-22-2022,07,10,2022
0,https://www.stc.com.kw/en/payment-channels/,0.02,10-22-2022,07,10,2022
0,https://www.stc.com.kw/en/,0.24,10-22-2022,07,10,2022
0,https://www.stc.com.kw/en/store/grid#ACCESSORY/,0.5,10-22-2022,07,10,2022
0,https://www.stc.com.kw/en/store/grid#ALLPRODUCT/,0.52,10-22-2022,07,10,2022
0,https://www.stc.com.kw/en/store/grid#SMARTPHONE/,0.51,10-22-2022,07,10,2022
0,https://www.stc.com.kw/en/store/grid#TABLET/,0.51,10-22-2022,07,10,2022
0,https://www.stc.com.kw/en/store/grid#ROUTER/,0.53,10-22-2022,07,10,2022
0,https://www.stc.com.kw/en/store/grid#GAMINGCONSOLE/,0.52,10-22-2022,07,10,2022
0,https://www.stc.com.kw/en/qitaf-page/,0.01,10-22-2022,07,10,2022
0,https://www.stc.com.kw/en/payment-channels/,0.02,10-22-2022,07,10,2022
0,https://www.stc.com.kw/en/,0.23,10-22-2022,07,10,2022
0,https://www.stc.com.kw/en/store/grid#ACCESSORY/,0.51,10-22-2022,07,10,2022
0,https://www.stc.com.kw/en/store/grid#ALLPRODUCT/,0.5,10-22-2022,07,10,2022
0,https://www.stc.com.kw/en/store/grid#SMARTPHONE/,0.51,10-22-2022,07,10,2022
0,https://www.stc.com.kw/en/store/grid#TABLET/,0.26,10-22-2022,07,10,2022
0,https://www.stc.com.kw/en/store/grid#ROUTER/,0.51,10-22-2022,07,10,2022
0,https://www.stc.com.kw/en/store/grid#GAMINGCONSOLE/,0.51,10-22-2022,07,10,2022
0,https://www.stc.com.kw/en/qitaf-page/,0.02,10-22-2022,07,10,2022
0,https://www.stc.com.kw/en/payment-channels/,0.03,10-22-2022,07,10,2022
